gene_name,gene_synonym
GAGE12G,OTTHUMG00000024148
IAH1,nan
HMGA1P5,HMGA1L5
RPL3P11,nan
AL603962.1,nan
SMIM13,C6orf228
RAB24,nan
RNU1-20P,nan
FO393419.3,nan
AL365440.1,nan
AC083864.2,nan
ATRN,MGCA|DPPT-L
UBFD1P1,nan
AC009121.4,nan
AC018630.2,nan
RNU6-424P,nan
AQP3,GIL
DCUN1D2-AS,DCUN1D2-AS2
LINC02391,nan
MIR4491,hsa-mir-4491
RN7SL362P,nan
PMPCA,CLA1|SCAR2|INPP5E|KIAA0123|Alpha-MPP
ZSWIM8-AS1,nan
LRRFIP1P1,nan
MTCO2P15,nan
UBXN7,UBXD7|KIAA0794
SMS,SpS|SRS|SPMSY|MRSR
AC004918.1,nan
PDPN,PA2.26|Gp38|aggrus|T1A-2|GP40
AC100835.1,nan
AC092701.2,nan
MTERF2,MTERFD3|FLJ14062
TRAJ1,nan
HMGN2P27,nan
LINC01933,nan
LINC01118,nan
AC092120.3,nan
JCHAIN,JCH|IGJ|IGCJ
ETNPPL,AGXT2L1
UBE2A,HHR6A|UBC2|HR6A|RAD6A
BZW2,MST017|MSTP017|HSPC028
RN7SL152P,nan
LINC02525,nan
AC006453.5,nan
GRHL1,LBP-32|TFCP2L2|MGR
MTHFD1,MTHFD|MTHFC
AL035410.2,nan
PPA2,FLJ20459
AL449105.4,nan
PRYP5,nan
MTND4P17,nan
CAGE1,CT95|CTAG3|bA69L16.7
RNU6ATAC28P,nan
AC253536.4,nan
LINC01901,nan
SOX1,nan
AL360225.1,nan
AL158071.5,nan
PLPP5,DPPL1|HTPAP|PPAPDC1B
TRBV1,TCRBV1S1P|TCRBV27S1P
DUX4L22,nan
LINC02301,nan
SERPINB3,T4-A|SCCA1|SCC|HsT1196
RNU7-99P,nan
ZSCAN5A,ZSCAN5|MGC4161|ZNF495
AC068587.6,nan
RNU6-1338P,nan
TSKU,E2IG4|LRRC54|TSK
