CD,AlternativeName,gene_name,gene_synonym
CD73,,Nt5e,ecto-5'-nucleotidase|2210401F01Rik|Nt5|CD73
CD105,,Eng,CD105|Endo
CD268,,,
CD85k,,Lilrb4a,Gp49b|Lilrb4|ILT3|HM18|CD85K
CD88,,C5ar1,D7Msu1|Cd88|C5aR|C5r1
4-1BBLigand,41BBLigand,,
CD186,CXCR6,Cxcr6,BONZO|STRL33
CD3ε,,,
CD304,,,
CD124,,Il4ra,IL-4 receptor alpha chain|CD124|Il4r
CD79b,,Cd79b,Igb|Igbeta|B29|Ig-beta
F4/80,,Adgre1,Ly71|TM7LN3|Emr1|F4/80|DD7A5-7|EGF-TM7
CD200,,Cd200,OX2|MRC OX-2|Mox2
Mac-3,Mac3,Lamp2,Lamp-2|CD107b|Mac3|Lamp-2b|Lamp-2c|Lamp-2a
CD153,,Tnfsf8,Cd30L|CD153|CD30LG
CD11a,,Itgal,Ly-21|Cd11a|LFA-1|Ly-15
TER-119,TER119,,
CD45,,Ptprc,T200|B220|CD45|Lyt-4|Ly-5
CD49b,,Itga2,DX5|CD49B|alpha 2 subunit|VLA-2 receptor
MAIR-V,MAIRV,,
CD197,,Ccr7,Ebi1h|EBI1|Cmkbr7|CD197
CD127,,Il7r,CD127|IL-7 receptor alpha chain|IL-7Ralpha
GITRLigand,,,
CD39,,Entpd1,NTPDase-1|ectoapyrase|Cd39|2610206B08Rik
CD267,,,
PIR-A,PIRA,,
PIR-B,PIRB,Pirb,Gp91|Lilrb3
CD300c,,Cd300c,Clm6
CD300d,,Cd300c2,Cd300d|AF251705|DIgR1|Igsf7|Clm4|LMIR2|MAIR-II
DcTRAIL-R1,DcTRAILR1,,
Ly49D,,Klra4,ly49r<129>|Ly49d|Chok
CD229,Ly-9,Ly9,T100|Lgp100|SLAMF3|CD229
Ly6K,,Ly6k,3110035B01Rik|mLy-6K|2410015A16Rik
TLT-2,TLT2,,
CD279,,,
CD55,,Cd55,Cromer blood group|Daf1|complement-glycosylphosphatidylinositol|GPI-DAF|Daf-GPI
CD4,,Cd4,Ly-4|L3T4
MD-1,MD1,Ly86,MD-1|MD1
CD326,,Epcam,EpCAM|Tacstd1|TROP1|EpCAM1|gp40|Ep-CAM|EGP-2|Egp314|panepithelial glycoprotein 314|CD326|Ly74|GA733-2
Notch2,,Notch2,Motch B|N2
LPAM-1,LPAM1,,
CD38,,Cd38,Cd38-rs1
CD324,,,
CD45RB,,,
CD335,,,
TCRg,,,
TCRd,,,
CD180,,Cd180,Ly78|RP105
CD255,,,
CD355,,,
CD202b,,Tek,Cd202b|Tie2|Hyk|tie-2
CD104,,Itgb4,CD104
CD47,,Cd47,B430305P08Rik|Itgp|9130415E20Rik|IAP|integrin-associated protein
CD18,,Itgb2,Mac-1 beta|Cd18|2E6
CD319,,,
